"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-18",,"83","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-19",,"84","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-20",,"85","95","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-21",,"83","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-22",,"80","87","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-23",,"81","87","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-24",,"80","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-25",,"81","89","72"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-26",,"81","89","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-27",,"80",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-28",,"82","92","73"
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-29",,"82","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-30",,"82","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-03-31","0.00","81","88","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-01",,"83","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-02",,"84","92","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-03",,"83","91","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-04",,"83","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-05",,"82","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-06",,"85","93","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-07",,"85","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-08","0.00","83","92","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-09","0.00","84","91","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-10",,"86","95","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-11",,"87",,"79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-12",,"87","94",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-13",,"87","95","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-14",,"87","94","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-15",,"87","96",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-16",,"86","95",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-17",,"86","95","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-18",,"85","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-19",,"86","95","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-20",,"86","95","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-21",,"88","96","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-22",,"87","95",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-23",,"88","95","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-24",,"88","97","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-25",,"87","95","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-26",,"87","97",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-27",,"88","96","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-28",,"88","97",
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-29",,"87","96","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-04-30",,"88","97",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-01",,"87","96","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-02",,"89","97",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-03",,"89","97","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-04",,"88",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-05",,"84","87","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-06",,"88","97","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-07",,"88","98","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-08",,"86","96",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-09",,"88","98","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-10",,"87","96","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-11",,"87","96",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-12",,"87","97","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-13",,"89","97","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-14",,"90","98","82"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-15",,"87","98",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-16","0.00","88","98",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-17",,"89","98","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-18",,"89","98","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-19",,"88","97",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-20","0.00","89","98","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-21",,"89","98",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-22",,"88","99","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-23",,"90",,"81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-24","0.00","89","98",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-25",,"87","99","82"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-26",,"88","99",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-27",,"90","99","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-28",,"91","99",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-29",,"89","97","82"
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-30",,"88","96",
"RP000098429","NINOY AQUINO INTERN, RP","2018-05-31",,"88","96","83"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-01",,"89","98","83"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-02",,"85",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-03",,"86","91","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-04","0.00","89","97","82"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-05",,"85","94",
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-06",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-07",,"83","89","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-08","0.00","81","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-09","1.44","78",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-10","4.59","78",,"75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-11","0.89","79",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-12","2.89","79","81","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-13","0.98","78",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-14","2.91","83",,"75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-15","0.00","83","90","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-16","0.24","82","89","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-17","0.08","83",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-18","0.00","85","90","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-19",,"85","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-20",,"82","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-21",,"81","88","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-22",,"82","87","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-23",,"83","94","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-24",,"84","92","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-25","0.00","81","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-26","0.41","80",,"77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-27","0.26","82","92","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-28","0.02","84",,"78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-29","0.00","85",,"80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-06-30","0.12","83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-01",,"82","88","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-02","0.00","83",,"78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-03","0.16","83","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-04","0.00","83","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-05","0.18","83","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-06","0.00","83","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-07","1.10","82",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-08","0.20","80","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-09","0.20","80","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-10","0.93","82","88","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-11","0.16","81","86","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-12","2.03","81","87","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-13","0.04","81","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-14","2.05","82","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-15","1.06","80","85","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-16","1.04","79","85","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-17","0.81","78",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-18","4.35","82",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-19","0.96","80","86",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-20","3.74","82","86","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-21","11.80","81","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-22","0.00","78",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-23",,"80","84","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-24","0.00","80","85","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-25","0.00","82","86","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-26",,"80","85",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-27",,"79","83","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-28",,"80","86",
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-29",,"83","88","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-30",,"83","87","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-07-31",,"83",,"79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-01",,"84","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-02","0.47","82","87","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-03","0.00","82","86",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-04","0.08","81","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-05","1.04","82","88","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-06","0.02","82","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-07","0.00","82",,"78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-08",,"83","90","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-09",,"82","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-10",,"82","85","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-11",,"80",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-12",,"80","85","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-13","0.94","81","86","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-14",,"82","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-15",,"84",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-16",,"82","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-17",,"82",,"74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-18","0.00","80",,"75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-19","0.00","81","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-20","0.61","82",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-21","0.20","83","88","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-22","0.00","83","88","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-23","0.06","84","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-24","0.00","84","88","81"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-25","0.00","84","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-26","0.00","83","87",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-27",,"84","90","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-28",,"84","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-29",,"85","90","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-30",,"83","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-08-31",,"81",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-01",,"82","88","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-02",,"82",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-03","0.08","81","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-04","0.00","81","86","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-05","0.39","82","87","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-06","0.00","80","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-07","1.20","80","85","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-08","0.24","83",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-09","0.00","84","88","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-10",,"83","88","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-11",,"82","87","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-12",,"83","88","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-13",,"83","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-14",,"81","85",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-15","1.50","80","85","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-16","0.00","81","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-17","0.10","81",,"78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-18","0.00","85","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-19",,"83","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-20",,"82","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-21",,"82","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-22",,"85","90","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-23","0.00","84","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-24","1.04","85","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-25","0.00","85","90","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-26",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-27",,"84","88","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-28","0.00","83","88","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-29",,"83","88",
"RP000098429","NINOY AQUINO INTERN, RP","2018-09-30","0.00","84","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-01",,"84",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-02",,"81","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-03",,"83","92","74"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-04",,"83",,"75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-05",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-06",,"84","88","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-07",,"85","93","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-08",,"85","92","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-09",,"85","93","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-10",,"85","94","80"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-11","0.00","86","93","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-12",,"85","94",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-13",,"87",,"79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-14",,"83","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-15",,"82","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-16",,"84","93","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-17",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-18",,"85",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-19",,"85","93","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-20",,"84","90","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-21","0.16","84","90","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-22","0.00","84","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-23",,"84","91","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-24",,"83","89",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-25",,"85","93","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-26",,"85","93","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-27","0.00","84","90","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-28",,"83","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-29",,"81","87","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-30","0.00","80","83",
"RP000098429","NINOY AQUINO INTERN, RP","2018-10-31","0.91","85","91","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-01","0.00","86","94","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-02",,"85","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-03",,"85","94","79"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-04",,"85","94",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-05",,"85",,"78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-06","0.00","85",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-07","0.00","83","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-08","0.18","84",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-09","0.16","82","88","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-10","0.02","82","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-11","0.00","84","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-12",,"84",,"77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-13",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-14",,"84","91","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-15","0.00","84","93",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-16",,"84","92","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-17",,"84","91","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-18",,"83","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-19","0.00","83","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-20",,"84","89","78"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-21","0.00","80","86",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-22","0.08","82","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-23","0.02","83","91",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-24","0.00","83","91","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-25","0.00","82","90","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-26","0.00","83","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-27",,"83","91","75"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-28",,"82",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-29",,"83",,"77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-11-30",,"82","90","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-01",,"83","92","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-02","0.00","82","90",
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-03",,"85",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-04","0.02","83","89","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-05","0.00","83","92",
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-06","0.02","85","92","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-07","0.00","84",,"76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-08","0.00","84","93","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-09",,"82","90","77"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-10","0.00","84","90","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-11",,"83",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-12",,"85","93","76"
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-13","0.02","80",,
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-14","0.08","78","85",
"RP000098429","NINOY AQUINO INTERN, RP","2018-12-15","0.51","81","90","75"
